#{"t_start": 1614252691.418022}
r,l,t,rew_unnormalized,forces
2.255276,32.0,514.3149926662445,-77530.37,1026.9941
2.5063138,32.0,526.7797727584839,-62884.203,993.92737
2.549067,32.0,539.1697919368744,-59067.45,995.89844
2.532736,32.0,551.4840776920319,-58155.49,984.73486
2.5517714,32.0,564.0302102565765,-55658.28,1004.52374
2.3776047,32.0,576.5933995246887,-62729.246,1015.6629
2.6561532,32.0,589.0595343112946,-47664.176,979.24097
2.5389714,32.0,601.632426738739,-51843.605,994.42084
2.5191834,32.0,614.0200662612915,-51563.43,996.9164
2.341795,32.0,626.219432592392,-58691.28,1020.7859
2.5043283,32.0,638.6864912509918,-49676.785,1002.7202
2.188562,32.0,650.8316919803619,-63217.1,1029.0631
2.433381,32.0,662.389475107193,-50786.684,1016.8875
2.3385477,32.0,674.7494451999664,-54026.75,1022.5033
2.472537,32.0,687.1572864055634,-46803.44,1007.5441
2.6373649,32.0,699.1127824783325,-38267.023,998.4589
2.6421692,32.0,711.2742981910706,-36927.977,997.4002
2.4528108,32.0,723.6753506660461,-44283.44,1023.4192
2.489721,32.0,735.8145279884338,-41651.574,1009.4445
2.7163792,32.0,748.328583240509,-30742.375,990.2363
2.6531463,32.0,760.9007630348206,-32496.957,989.166
2.7020063,32.0,773.5219779014587,-29430.262,1009.3649
2.8044922,32.0,785.7878930568695,-24056.18,994.2247
2.7225192,32.0,797.3701763153076,-26577.262,1016.93463
2.7217505,32.0,809.8499269485474,-25680.61,1002.53986
2.7600098,32.0,822.3861200809479,-23193.293,982.75195
2.613748,32.0,834.5806031227112,-28385.732,1011.0112
2.6163723,32.0,846.9136734008789,-27409.422,1001.3601
2.6567254,32.0,859.4920058250427,-24988.686,1003.20416
2.812643,32.0,872.036648273468,-17839.633,980.95825
2.5612469,32.0,884.4937374591827,-27175.393,1024.086
2.700073,32.0,896.849196434021,-20846.775,976.39185
2.640616,32.0,909.248363494873,-22439.426,990.8787
2.6826942,32.0,921.4158854484558,-20050.932,992.7949
2.6800592,32.0,934.057788848877,-19446.547,991.82526
2.6390824,32.0,946.4758653640747,-20327.113,994.73096
2.6926796,32.0,959.0667810440063,-17572.582,1002.0069
2.5497458,32.0,971.5553414821625,-22387.48,1028.0289
2.6126413,32.0,984.0927627086639,-19341.676,988.416
2.5678108,32.0,996.7195539474487,-20425.793,1005.0443
2.5973191,32.0,1009.208582162857,-18671.99,1005.1615
2.568291,32.0,1021.7931184768677,-19140.021,1015.98456
2.5225472,32.0,1033.7717881202698,-20266.025,1011.31335
2.6387537,32.0,1046.210159778595,-15371.1,985.60956
2.5485783,32.0,1058.7199969291687,-18126.064,975.3006
2.5269914,32.0,1070.3397598266602,-18356.678,998.2969
2.572489,32.0,1082.455404996872,-16138.9,990.6746
2.5442507,32.0,1094.8596711158752,-16628.443,1003.9596
2.4996803,32.0,1106.9230568408966,-17715.5,979.97125
2.495679,32.0,1119.1879725456238,-17339.52,1019.0945
2.4537313,32.0,1131.6403243541718,-18329.207,976.24506
2.5338469,32.0,1143.8809773921967,-14988.459,975.3926
2.4975593,32.0,1155.355524778366,-15789.117,991.3604
2.5514627,32.0,1166.9231684207916,-13413.018,969.05975
2.4073648,32.0,1179.2719831466675,-17974.438,999.12994
2.3594885,32.0,1191.7515513896942,-19188.893,1015.2673
2.3163793,32.0,1204.0560216903687,-20264.502,1008.55585
2.338656,32.0,1216.5007770061493,-19054.746,986.4423
2.3793185,32.0,1228.730949640274,-17244.59,1016.1106
2.3390446,32.0,1241.270122051239,-18219.629,1011.884
2.3239558,32.0,1253.6659812927246,-18321.291,1011.77075
2.3859837,32.0,1266.221994638443,-15833.496,990.00446
2.3215265,32.0,1278.5378968715668,-17606.896,1001.9419
2.3075716,32.0,1290.5002031326294,-17679.012,1017.6314
2.248253,32.0,1302.6810207366943,-19271.316,1019.41077
2.3896701,32.0,1315.0184087753296,-14232.466,991.87225
2.3255494,32.0,1327.5638704299927,-15981.711,990.0349
2.233943,32.0,1339.991926908493,-18605.207,1029.8132
2.399853,32.0,1351.5992136001587,-12862.619,981.921
2.2784913,32.0,1363.2304816246033,-16438.893,999.139
2.1857836,32.0,1374.837706565857,-19086.627,1008.87494
2.3121328,32.0,1386.4636220932007,-14703.164,995.5595
2.1535711,32.0,1399.0943441390991,-19457.31,1036.3168
2.2506626,32.0,1411.4388151168823,-16045.173,1005.1317
2.2096593,32.0,1423.8583483695984,-17021.996,1020.7893
2.2831366,32.0,1436.4204671382904,-14386.755,993.4556
2.2108192,32.0,1449.011269569397,-16351.126,997.84
2.2047536,32.0,1461.5317482948303,-16238.612,1004.97144
2.0993338,32.0,1473.9609875679016,-19241.979,1007.5089
2.2660253,32.0,1486.0267560482025,-13776.053,1000.7165
2.2051845,32.0,1498.5435342788696,-15361.888,980.7872
2.2276075,32.0,1510.8123152256012,-14388.104,998.53345
2.1744187,32.0,1523.483457326889,-15733.07,1000.3182
2.2663355,32.0,1535.9055044651031,-12653.082,974.53534
2.12085,32.0,1548.2429814338684,-16789.895,1011.0232
2.1083252,32.0,1560.7365074157715,-16912.998,1017.2748
2.148108,32.0,1573.1208882331848,-15460.008,992.49194
2.0893476,32.0,1585.5552492141724,-16968.936,1020.9436
2.2105994,32.0,1597.6205036640167,-13084.491,986.44836
2.0554702,32.0,1609.9904465675354,-17456.1,1018.39575
2.0661013,32.0,1622.274177789688,-16904.316,1013.94135
2.1421375,32.0,1634.6483659744263,-14410.008,1008.0399
2.1071477,32.0,1647.1986484527588,-15196.74,983.4497
2.1336472,32.0,1659.5027186870575,-14186.665,993.19556
2.0496747,32.0,1671.9331216812134,-16412.293,1014.5502
2.1224906,32.0,1684.297197341919,-14057.772,982.04456
2.071847,32.0,1696.658483505249,-15304.402,1017.71564
2.0698094,32.0,1709.3306105136871,-15133.249,996.16125
2.0834234,32.0,1721.6739456653595,-14522.285,1016.79407
2.1347947,32.0,1733.5866239070892,-12823.921,994.5505
2.047119,32.0,1746.1905646324158,-15113.775,999.336
2.0258925,32.0,1758.5438060760498,-15513.137,1011.7678
1.97818,32.0,1771.167906999588,-16675.07,1028.9543
1.9869896,32.0,1782.9899978637695,-16212.216,1021.18787
2.0189958,32.0,1795.1876049041748,-15108.434,1010.25055
2.1014967,32.0,1807.0095400810242,-12583.335,1017.74084
2.041933,32.0,1819.5966053009033,-14058.567,1029.2744
2.0657768,32.0,1831.589781999588,-13189.963,992.66833
1.9850698,32.0,1843.9056272506714,-15249.674,976.59424
1.9734752,32.0,1856.639276266098,-15378.881,1022.8367
2.0402164,32.0,1869.0472567081451,-13346.026,1026.1052
2.0101516,32.0,1881.4137525558472,-13984.775,1034.5479
2.0261884,32.0,1893.891816854477,-13361.832,1012.8021
1.9571131,32.0,1906.2603964805603,-15076.657,993.5383
