#{"t_start": 1611072861.059411, "env_id": "burger-v106"}
r,l,t
-0.054682,32,48.206214
-0.188286,32,48.382379
-0.166665,32,48.558343
-0.14426,32,48.734287
-0.004484,32,48.910087
-0.149549,32,49.085502
-0.097694,32,49.261502
-0.170007,32,49.437882
-0.226667,32,49.614454
-0.279106,32,49.790571
-0.112389,32,49.966843
-0.056469,32,50.142422
-0.164809,32,50.318412
-0.178351,32,51.914706
-0.049425,32,52.087244
-0.241768,32,52.261336
-0.1381,32,52.433492
-0.111967,32,52.605047
-0.127595,32,52.776558
-0.076936,32,52.947648
-0.055916,32,53.119155
-0.098315,32,53.290884
-0.226788,32,53.46235
-0.075027,32,53.634323
-0.18405,32,53.806445
-0.259465,32,53.97824
-0.28023,32,54.149793
-0.146591,32,54.321355
-0.071612,32,54.493067
-0.075496,32,54.665122
-0.072951,32,54.836848
-0.108389,32,55.008021
-0.091419,32,55.179881
-0.14471,32,55.351306
-0.259484,32,55.522925
-0.069021,32,55.695223
-0.066356,32,55.867724
-0.198421,32,56.039748
-0.227459,32,56.211587
-0.175694,32,56.383368
-0.195225,32,56.55464
-0.062925,32,56.726078
-0.1256,32,56.898082
-0.129824,32,57.069961
-0.246715,32,57.241827
-0.121287,32,57.413296
-0.110402,32,57.584961
-0.062258,32,57.756692
-0.086195,32,57.928954
-0.155602,32,58.100547
-0.100433,32,58.272436
-0.070525,32,58.444524
-0.195405,32,58.616108
-0.146437,32,58.787863
-0.210512,32,58.95982
-0.03162,32,59.131641
-0.122569,32,59.303697
-0.154512,32,59.478951
-0.168012,32,59.651358
-0.02306,32,59.823925
-0.038515,32,59.99641
-0.217224,32,60.178059
-0.149682,32,60.348431
-0.128149,32,60.518737
-0.08166,32,60.688469
-0.218161,32,60.858274
-0.133689,32,61.029477
-0.176948,32,61.204307
-0.024815,32,61.378282
-0.371282,32,61.552371
-0.148107,32,61.726287
-0.110572,32,61.901183
-0.172012,32,62.075396
-0.121887,32,62.249285
-0.124381,32,62.423685
-0.235187,32,62.597051
-0.118779,32,62.771039
-0.188523,32,64.360408
-0.232316,32,64.5312
-0.111337,32,64.703352
-0.089788,32,64.875295
-0.130352,32,65.046087
-0.052594,32,65.217374
-0.265443,32,65.386938
-0.122023,32,65.556904
-0.087875,32,65.727936
-0.084268,32,65.899153
-0.261766,32,66.069855
-0.114934,32,66.241277
-0.16461,32,66.412026
-0.233326,32,66.582106
-0.0277,32,66.752465
-0.168338,32,66.923807
-0.124072,32,67.094349
-0.276879,32,67.265141
-0.110835,32,67.435904
-0.039142,32,67.603423
-0.192926,32,67.771101
-0.083756,32,67.939068
-0.269927,32,68.106401
-0.078491,32,68.273618
-0.09257,32,68.440491
-0.221239,32,68.607664
-0.189781,32,68.783504
-0.020585,32,68.95199
-0.135177,32,69.119452
-0.059836,32,69.286911
-0.122116,32,69.454695
-0.164835,32,69.625888
-0.198086,32,69.796412
-0.122513,32,69.967919
-0.171939,32,70.138885
-0.251798,32,70.3096
-0.218306,32,70.481316
-0.047632,32,70.653399
-0.081242,32,70.825269
-0.018282,32,70.996873
-0.152132,32,71.168157
-0.097053,32,71.339649
-0.125842,32,71.510801
-0.131764,32,71.679167
-0.247536,32,71.847884
-0.14916,32,72.016136
-0.107152,32,72.183868
-0.039497,32,72.35144
-0.073956,32,72.518443
-0.293722,32,72.685539
-0.306598,32,72.853071
-0.354023,32,73.020496
-0.155731,32,73.187926
-0.115514,32,73.355517
-0.031979,32,73.52241
-0.159206,32,73.689708
-0.154755,32,73.857297
-0.217796,32,74.024685
-0.222153,32,74.192233
-0.269165,32,74.361118
-0.2326,32,74.532399
-0.185576,32,74.703413
-0.056008,32,74.874268
-0.053423,32,75.045439
-0.023468,32,76.532828
-0.23248,32,76.705388
-0.052835,32,76.879895
-0.10821,32,77.052001
-0.035425,32,77.224554
-0.056874,32,77.396359
-0.125896,32,77.568369
-0.08953,32,77.740008
-0.175198,32,77.912235
-0.07084,32,78.084586
-0.269147,32,78.255725
-0.066837,32,78.427229
-0.019173,32,78.598727
-0.19462,32,78.769834
-0.163886,32,78.94203
-0.093065,32,79.114678
-0.154628,32,79.287096
-0.156915,32,79.458891
-0.113051,32,79.630704
-0.143104,32,79.802406
-0.122129,32,79.974663
-0.356629,32,80.146649
-0.20108,32,80.319353
-0.041891,32,80.49123
-0.119457,32,80.662776
-0.187212,32,80.834584
-0.08095,32,81.006639
-0.1211,32,81.179273
-0.141179,32,81.351309
-0.232086,32,81.523247
-0.146671,32,81.69516
-0.352276,32,81.867141
-0.120421,32,82.039892
-0.282243,32,82.212204
-0.18058,32,82.383572
-0.226435,32,82.555101
-0.049023,32,82.726813
