#{"t_start": 1613491188.3645885}
r,l,t,rew_unnormalized,forces
-0.5748267,32.0,9.5385582447052,294353.84,11576.809
-0.032269083,32.0,21.96468997001648,288903.97,11714.91
-0.030204866,32.0,34.0232720375061,293854.7,11586.352
0.8979043,32.0,45.717896938323975,214637.72,10919.039
0.21224187,32.0,57.77959704399109,254062.2,11365.468
0.4740053,32.0,69.9862973690033,234070.36,11124.89
0.13026941,32.0,82.06786322593689,252034.08,11319.71
-0.047072917,32.0,94.21919846534729,264975.56,11380.103
0.03521922,32.0,106.30674314498901,259288.31,11349.332
0.025326055,32.0,118.8335075378418,260512.08,11340.264
-0.027279489,32.0,131.04742193222046,263166.34,11467.982
0.3145157,32.0,143.35784101486206,240729.58,11165.638
-0.5731662,32.0,155.4557240009308,298691.53,11822.892
-0.17497456,32.0,166.82657504081726,273767.8,11677.131
0.21935353,32.0,179.0664222240448,248465.12,11316.091
-0.116334096,32.0,191.3280634880066,270415.94,11528.345
0.2818436,32.0,204.52271461486816,243768.42,11366.315
-0.33262882,32.0,218.86887121200562,283770.94,11700.639
0.09769904,32.0,233.4630401134491,256539.81,11428.987
0.14936839,32.0,246.76524448394775,252725.27,11427.0625
0.049008194,32.0,258.7008788585663,258726.1,11412.402
0.61118424,32.0,270.57312512397766,221621.08,11084.468
0.7248133,32.0,282.3594889640808,211783.5,11062.562
0.9259742,32.0,294.1874074935913,197518.66,10891.32
0.18702655,32.0,306.0116231441498,243551.8,11264.58
-0.02458609,32.0,318.1801600456238,256624.78,11335.64
0.54524827,32.0,330.28482007980347,219927.58,11114.33
0.38616222,32.0,342.45494174957275,228974.7,11214.642
0.6140376,32.0,354.4192612171173,213824.56,11140.617
0.39141968,32.0,365.5141236782074,226774.3,11232.165
0.46305278,32.0,377.322646856308,221146.1,11215.844
0.5854353,32.0,388.5983054637909,213246.66,11082.617
0.59423727,32.0,399.86226749420166,211285.86,11118.874
0.45801383,32.0,410.9064223766327,219105.6,11147.501
0.4768144,32.0,421.8956847190857,216904.8,11088.997
1.0470762,32.0,432.8563849925995,181352.36,10809.92
0.7451253,32.0,443.9533247947693,198446.1,10912.655
0.42605633,32.0,455.77052187919617,216657.2,11104.015
1.2116715,32.0,467.859091758728,168519.44,10733.144
1.3333782,32.0,479.5106167793274,159739.11,10690.5
0.8635423,32.0,491.389919757843,186446.4,11044.308
1.3453946,32.0,502.64609456062317,156759.81,10688.19
0.6650148,32.0,513.4944586753845,195496.02,11144.178
1.6169691,32.0,525.3270394802094,138886.6,10497.537
1.1912167,32.0,537.159022808075,162116.36,10771.097
1.4744534,32.0,548.9256792068481,144563.48,10620.441
1.4436536,32.0,560.6303384304047,144964.72,10793.153
1.0309561,32.0,572.4949901103973,167590.3,10958.778
1.3525063,32.0,584.0549881458282,148254.62,10769.355
1.4246533,32.0,595.068540096283,143029.55,10804.299
1.7090316,32.0,606.8885469436646,126086.08,10609.612
1.3330694,32.0,618.7222383022308,145796.02,10833.058
1.3196543,32.0,630.7680695056915,145481.94,10928.695
1.762365,32.0,642.8178119659424,119929.66,10496.733
