#{"t_start": 1628346448.522618}
r,l,t,rew_unnormalized,forces
2.6754608,32.0,1022.1958689689636,-15971.983,999.5607
2.6903982,32.0,1033.0004813671112,-14887.508,978.3949
2.64517,32.0,1043.8223688602448,-16052.671,1005.37103
2.6552384,32.0,1054.7975997924805,-15168.932,1005.01697
2.6895487,32.0,1065.2858633995056,-13399.089,959.9288
2.6632586,32.0,1076.2251515388489,-13867.285,983.02826
2.6274533,32.0,1087.092162847519,-14690.383,982.701
2.6164918,32.0,1097.940697669983,-14609.706,977.8388
2.6048226,32.0,1108.9771444797516,-14568.238,988.71594
2.6128345,32.0,1119.7366824150085,-13812.747,988.1035
2.5305371,32.0,1130.5974180698395,-16332.99,1012.54205
2.5366862,32.0,1141.3845164775848,-15677.086,990.9881
2.552453,32.0,1152.0161826610565,-14687.027,1005.9126
2.567929,32.0,1162.6126971244812,-13713.432,977.62244
2.547312,32.0,1173.1870646476746,-14017.845,978.245
2.5349169,32.0,1184.004962682724,-14045.174,987.56256
2.4950016,32.0,1195.0659503936768,-15043.02,1002.05334
2.5384896,32.0,1206.0458195209503,-13133.731,988.8077
2.5167048,32.0,1216.8308460712433,-13493.816,1002.8649
2.564048,32.0,1227.5776851177216,-11478.16,981.0929
2.5140102,32.0,1238.5009772777557,-12802.825,1001.65686
2.4756498,32.0,1249.4203584194183,-13740.108,987.6647
2.5340257,32.0,1259.8942911624908,-11400.003,975.69135
2.456764,32.0,1270.423357963562,-13646.345,992.3153
2.476138,32.0,1280.9342963695526,-12631.892,986.5726
2.4625852,32.0,1291.479944229126,-12742.765,980.4641
2.4382486,32.0,1302.4203972816467,-13214.245,976.92975
2.4282286,32.0,1313.279761314392,-13211.942,980.3504
2.4071684,32.0,1323.9451503753662,-13584.357,968.94165
2.3773785,32.0,1334.8974208831787,-14238.106,1008.8798
2.332518,32.0,1345.5821750164032,-15393.669,1002.4919
2.4056442,32.0,1356.2984766960144,-12693.955,1006.77026
2.334999,32.0,1366.9651777744293,-14692.554,1004.5125
2.3102562,32.0,1377.6128253936768,-15193.603,1003.0144
2.3594778,32.0,1388.4382710456848,-13301.963,990.4205
2.3673022,32.0,1399.1664924621582,-12753.869,989.1472
2.2974157,32.0,1409.8873341083527,-14707.455,1008.1128
2.3672063,32.0,1420.7660326957703,-12185.844,1007.20624
2.3785741,32.0,1431.1375486850739,-11532.459,978.5979
2.3189635,32.0,1441.8520662784576,-13147.96,993.26666
2.3389623,32.0,1452.614403963089,-12241.536,1003.3535
2.3005571,32.0,1463.1990582942963,-13180.191,1007.99365
2.3438559,32.0,1474.0132868289948,-11547.727,999.2648
2.224133,32.0,1484.8826656341553,-15038.457,1008.70233
2.2366965,32.0,1495.6192841529846,-14391.273,986.88525
2.234882,32.0,1506.113252878189,-14199.251,1034.782
2.21899,32.0,1516.6248047351837,-14443.025,1004.94885
2.2646534,32.0,1527.124024629593,-12781.79,1002.4059
2.2538671,32.0,1537.7481548786163,-12867.028,986.5937
2.2362087,32.0,1548.5830657482147,-13160.551,993.3658
2.2011585,32.0,1559.583262205124,-13998.581,1004.2134
2.2644105,32.0,1570.4538774490356,-11836.134,993.5128
2.1590612,32.0,1581.3032145500183,-14804.499,1022.34106
2.213468,32.0,1592.106520652771,-12929.82,1011.14514
2.1078084,32.0,1602.7843260765076,-15900.298,1017.50476
2.1396363,32.0,1613.6406223773956,-14726.696,1028.7953
2.2059104,32.0,1624.3230237960815,-12520.723,1014.65625
2.1557052,32.0,1634.9714260101318,-13800.168,1030.8925
2.2142048,32.0,1645.2867839336395,-11846.725,984.3922
2.1630602,32.0,1655.0825822353363,-13145.513,970.67633
2.141828,32.0,1665.7364015579224,-13574.041,1016.9872
2.1475358,32.0,1676.4420461654663,-13195.914,1015.7871
2.1785998,32.0,1687.392722606659,-12078.821,985.87244
2.1853344,32.0,1698.4203615188599,-11675.929,981.24243
2.2056336,32.0,1708.8915762901306,-10881.773,970.76227
2.1416886,32.0,1719.7327320575714,-12540.897,1029.7673
2.1854239,32.0,1730.4354701042175,-11077.211,984.964
2.069727,32.0,1740.999647140503,-14225.696,1016.3016
2.1702976,32.0,1751.8740787506104,-11140.104,991.9839
2.1545303,32.0,1762.620034456253,-11400.325,1001.2751
2.1462107,32.0,1773.246419429779,-11454.299,1009.3692
2.1365938,32.0,1783.1146490573883,-11539.607,995.3832
2.1469648,32.0,1793.9743530750275,-11058.168,1006.8995
-0.73234665,32.0,6.441663503646851,-13018.084,1001.0211
-0.7040751,32.0,6.2762556076049805,-13139.534,987.1867
-0.16376993,32.0,16.82059097290039,-13852.397,997.10046
-0.1392814,32.0,27.405901193618774,-14058.303,1017.5584
0.03792472,32.0,38.1090612411499,-13369.96,1029.8512
-0.3812831,32.0,48.876953125,-14724.727,1010.98584
-0.028769163,32.0,59.89182209968567,-13937.393,1029.4749
0.27204573,32.0,70.73177456855774,-12911.313,1007.35065
0.44220316,32.0,81.93188047409058,-12318.434,992.1579
-0.68453705,32.0,6.32696795463562,-13224.429,1006.0999
-0.069766074,32.0,16.479482412338257,-13394.146,999.2072
