#{"t_start": 1613222802.8017235}
r,l,t
2.6587718,32.0,190.41785049438477
2.625954,32.0,202.01377201080322
2.4595091,32.0,213.93399238586426
2.6197376,32.0,225.79153037071228
2.3613791,32.0,237.43004369735718
2.6149914,32.0,248.6264774799347
2.6941085,32.0,259.83365988731384
2.8071291,32.0,272.0956242084503
2.656662,32.0,283.98150277137756
2.61905,32.0,295.4584901332855
2.65824,32.0,306.5503215789795
2.652388,32.0,317.81214809417725
2.6589653,32.0,329.6647183895111
2.6047883,32.0,341.515177488327
2.6050167,32.0,353.4437983036041
2.75355,32.0,365.3912100791931
2.673841,32.0,377.356303691864
2.6755369,32.0,389.239413022995
2.5202477,32.0,401.15735268592834
2.6179245,32.0,412.55813336372375
2.5375304,32.0,424.52345991134644
2.5795298,32.0,436.4390549659729
2.6766143,32.0,448.28714394569397
2.5684621,32.0,459.9796860218048
2.7288597,32.0,471.74504566192627
2.6143615,32.0,483.21171617507935
2.6693194,32.0,495.4078035354614
2.6394737,32.0,507.20466589927673
2.6335065,32.0,519.188661813736
2.590692,32.0,531.0485739707947
2.5002625,32.0,542.963027715683
2.5790932,32.0,554.8180105686188
2.5532398,32.0,566.395886182785
2.515419,32.0,577.7725458145142
2.5344553,32.0,588.8967418670654
2.5856202,32.0,600.8077008724213
2.5464265,32.0,612.6926853656769
2.5442235,32.0,624.664167881012
2.5768719,32.0,636.6567325592041
2.5942435,32.0,648.6538701057434
2.5732071,32.0,660.5771877765656
2.4885552,32.0,672.5253298282623
2.56171,32.0,684.9021191596985
2.552846,32.0,696.9901385307312
2.492378,32.0,708.7504608631134
2.4895256,32.0,720.53297996521
2.4983082,32.0,732.2187788486481
2.5726721,32.0,744.1910531520844
2.6077852,32.0,756.1923270225525
2.4813695,32.0,770.7786378860474
2.4786406,32.0,784.8058502674103
2.4110458,32.0,799.4824669361115
2.475734,32.0,814.2291123867035
2.46094,32.0,828.9868261814117
2.4109747,32.0,843.3174879550934
2.3735921,32.0,855.1620285511017
2.4202423,32.0,866.5887506008148
2.3347852,32.0,877.734046459198
2.3588452,32.0,888.8179452419281
2.3906126,32.0,899.9706189632416
2.3863876,32.0,911.0627217292786
2.4377816,32.0,922.1964783668518
2.4033656,32.0,933.3326618671417
2.3249824,32.0,944.4534430503845
2.2948751,32.0,955.6115174293518
2.3103418,32.0,966.8229126930237
2.3489485,32.0,977.9204759597778
2.3300014,32.0,989.7090537548065
2.4229615,32.0,1001.5273718833923
2.1655,32.0,1013.3752071857452
2.4017122,32.0,1025.1612057685852
2.298938,32.0,1037.0056810379028
2.319079,32.0,1048.7080912590027
2.3050673,32.0,1060.5006911754608
2.2523637,32.0,1072.3166399002075
2.2719426,32.0,1084.1106259822845
2.3558068,32.0,1096.2829871177673
2.2568138,32.0,1108.155066728592
2.3016205,32.0,1119.3123681545258
2.2956579,32.0,1130.4641160964966
2.2731469,32.0,1142.5627965927124
2.3260226,32.0,1154.1818873882294
2.2675245,32.0,1165.4285321235657
2.2527947,32.0,1176.7167901992798
2.264682,32.0,1187.9123299121857
2.310585,32.0,1199.0559973716736
2.3352304,32.0,1210.7563753128052
2.2760406,32.0,1222.4514977931976
2.229805,32.0,1234.2767398357391
2.248332,32.0,1245.944715976715
2.1678255,32.0,1257.8824603557587
2.1289527,32.0,1269.7866470813751
2.068049,32.0,1281.5349147319794
2.1509142,32.0,1293.4102268218994
2.2016096,32.0,1305.2949323654175
2.2090764,32.0,1316.630833864212
2.1447413,32.0,1331.2657902240753
2.1948638,32.0,1345.5633020401
2.1774607,32.0,1360.3296415805817
2.237531,32.0,1374.707530260086
2.157127,32.0,1389.3139386177063
2.1593673,32.0,1403.5848429203033
2.1147482,32.0,1415.3918511867523
2.1354914,32.0,1426.604078054428
2.063025,32.0,1437.7307393550873
2.1331837,32.0,1449.7387101650238
2.057692,32.0,1461.6059584617615
2.1598098,32.0,1473.1720206737518
2.2087376,32.0,1484.9214777946472
2.1329532,32.0,1496.7498831748962
2.1586747,32.0,1508.7721180915833
2.1074882,32.0,1522.862809419632
2.0786085,32.0,1537.4213948249817
2.1474679,32.0,1551.9594790935516
2.1760292,32.0,1566.6191749572754
2.0745049,32.0,1580.2196326255798
2.1637037,32.0,1591.3676793575287
2.1739907,32.0,1603.1072280406952
2.1045103,32.0,1615.0132467746735
2.075921,32.0,1626.9407813549042
2.0609868,32.0,1638.8231253623962
2.1395435,32.0,1650.6310048103333
2.142021,32.0,1662.5214252471924
2.0384924,32.0,1674.2917897701263
2.0750368,32.0,1686.0503225326538
2.081358,32.0,1698.0671014785767
2.1119075,32.0,1710.0863692760468
2.074973,32.0,1721.9017534255981
1.9823626,32.0,1733.6275594234467
2.1290803,32.0,1745.478497505188
2.1006126,32.0,1757.3646001815796
2.063096,32.0,1769.1593976020813
2.1130605,32.0,1780.1872534751892
2.0355718,32.0,1791.4106996059418
2.0642018,32.0,1803.4006741046906
2.077304,32.0,1815.4980931282043
1.9937768,32.0,1827.7437677383423
2.0170853,32.0,1839.8559906482697
2.0836833,32.0,1851.755045413971
2.0249357,32.0,1863.6971542835236
2.083323,32.0,1875.786759853363
1.9701929,32.0,1887.625596523285
2.0147772,32.0,1898.9056279659271
2.0889466,32.0,1910.7495448589325
2.050224,32.0,1922.8543252944946
1.9349408,32.0,1934.8545954227448
1.992231,32.0,1946.6818578243256
2.0838482,32.0,1958.6270833015442
2.0016372,32.0,1970.5478029251099
1.9873602,32.0,1982.3986659049988
2.0389378,32.0,1994.1175620555878
1.9877734,32.0,2005.8994252681732
2.0226357,32.0,2017.7753336429596
2.0163944,32.0,2029.5280282497406
2.0543075,32.0,2041.436734199524
1.9520727,32.0,2053.5154876708984
1.9711254,32.0,2064.7572507858276
2.0109658,32.0,2076.097794532776
1.9393784,32.0,2087.6573412418365
2.0683887,32.0,2099.475563764572
1.9812373,32.0,2111.285205602646
1.9601897,32.0,2123.2632002830505
1.9750831,32.0,2135.118689060211
2.0094779,32.0,2146.891665458679
1.9820513,32.0,2158.649459838867
1.9934437,32.0,2170.40993475914
1.9289051,32.0,2181.734908103943
1.9583935,32.0,2192.874188899994
1.9220831,32.0,2204.4664130210876
1.9834759,32.0,2215.700898170471
1.9629706,32.0,2226.915844678879
1.970952,32.0,2238.668420791626
2.001601,32.0,2250.550238609314
1.9152162,32.0,2262.4040961265564
1.9651653,32.0,2274.213904619217
1.9277402,32.0,2285.591196537018
2.0115147,32.0,2297.286551475525
1.9113353,32.0,2309.0963051319122
1.9494325,32.0,2320.979411840439
1.9535549,32.0,2332.8313443660736
1.9187,32.0,2344.5787529945374
1.9752643,32.0,2356.519363641739
1.974345,32.0,2368.2596044540405
1.8931546,32.0,2380.1005520820618
1.91468,32.0,2391.839780330658
1.9162734,32.0,2403.8496963977814
1.9054484,32.0,2415.8384692668915
1.8703107,32.0,2427.1337559223175
1.9225267,32.0,2438.52974653244
1.8218347,32.0,2450.5311987400055
1.9469107,32.0,2462.5486166477203
1.8370193,32.0,2474.579236268997
1.8718506,32.0,2486.6098096370697
1.884732,32.0,2498.496847629547
1.810722,32.0,2510.366842985153
1.8481872,32.0,2522.318920135498
1.8646119,32.0,2534.36705493927
1.8693482,32.0,2546.1649770736694
1.8709555,32.0,2558.008185863495
1.9265784,32.0,2569.8755102157593
1.8440307,32.0,2581.8244004249573
1.9070741,32.0,2593.643307209015
1.8934963,32.0,2604.8751208782196
1.798692,32.0,2615.99893784523
1.8843279,32.0,2627.811137199402
1.8724438,32.0,2639.7400119304657
1.7761627,32.0,2651.702987909317
1.8332696,32.0,2663.5290987491608
1.8044662,32.0,2675.4981248378754
1.90052,32.0,2687.269076347351
1.8614624,32.0,2699.1084821224213
1.7596039,32.0,2710.9832100868225
1.8308051,32.0,2722.2456777095795
1.8406829,32.0,2733.979777574539
1.8390415,32.0,2745.840310573578
1.8181579,32.0,2757.6165311336517
1.8043786,32.0,2769.4534199237823
1.7661188,32.0,2781.246088027954
1.8917197,32.0,2793.1121900081635
1.7983649,32.0,2804.944952726364
1.7806665,32.0,2816.64626789093
1.7871627,32.0,2828.401423931122
1.7725769,32.0,2840.3245894908905
1.7681094,32.0,2851.931786298752
1.8310616,32.0,2863.82963180542
1.7805312,32.0,2875.766395330429
1.8327733,32.0,2887.6885323524475
1.7656497,32.0,2899.5437395572662
1.7624737,32.0,2911.2867183685303
1.8124083,32.0,2923.1760585308075
1.7614557,32.0,2935.1833806037903
1.7642167,32.0,2947.1130504608154
1.7360028,32.0,2958.3054983615875
1.7939727,32.0,2969.501785516739
1.8439311,32.0,2980.8243732452393
1.7970512,32.0,2992.4437408447266
1.7464943,32.0,3004.0108783245087
1.7481421,32.0,3015.8440656661987
1.7938887,32.0,3027.80371594429
1.756219,32.0,3039.7937502861023
1.7703313,32.0,3051.186774253845
1.7461586,32.0,3062.2715792655945
1.7186022,32.0,3073.454670190811
1.7443196,32.0,3084.626531124115
1.7889215,32.0,3095.7871594429016
1.7874484,32.0,3107.4158194065094
1.7788496,32.0,3119.412628889084
1.7277757,32.0,3131.39749956131
1.7033081,32.0,3143.3212060928345
1.823439,32.0,3155.2044818401337
1.7752086,32.0,3167.472892999649
1.7298621,32.0,3179.9616158008575
1.7769557,32.0,3192.5360159873962
1.7019491,32.0,3204.8572223186493
1.7402523,32.0,3216.9621624946594
1.7424698,32.0,3230.39554977417
1.722557,32.0,3245.017467021942
1.7704753,32.0,3258.8669583797455
1.779474,32.0,3272.1923887729645
1.697791,32.0,3285.348231315613
1.6883053,32.0,3297.726075410843
1.7629852,32.0,3309.909732580185
1.7474045,32.0,3322.079927444458
1.7700257,32.0,3334.7507169246674
1.7654672,32.0,3347.3626873493195
1.7165378,32.0,3360.1060950756073
1.7544099,32.0,3372.9165184497833
1.759563,32.0,3385.608511209488
1.7367439,32.0,3398.6699888706207
1.6988171,32.0,3411.262542247772
1.7590503,32.0,3423.1795444488525
1.651821,32.0,3435.3477516174316
1.7155954,32.0,3447.311184644699
1.740792,32.0,3459.0353796482086
1.720712,32.0,3471.414671897888
1.7413989,32.0,3483.39355802536
1.7117548,32.0,3495.317238807678
1.7434518,32.0,3507.1689100265503
1.6937168,32.0,3519.120954990387
1.6843127,32.0,3530.959357738495
1.725036,32.0,3543.326065301895
1.713288,32.0,3555.429347753525
1.695157,32.0,3567.4474523067474
1.7476453,32.0,3579.4717144966125
1.6886253,32.0,3591.3359775543213
1.7037289,32.0,3603.2398793697357
