#{"t_start": 1614779964.431239}
r,l,t,rew_unnormalized,forces
2.583717,32.0,881.7145779132843,-48793.227,1018.99634
2.5322661,32.0,894.3422410488129,-50325.29,1017.9437
2.6794424,32.0,906.335346698761,-42413.703,1009.8764
2.5982141,32.0,918.9160907268524,-45349.746,1018.3837
2.6159158,32.0,931.8507649898529,-43681.99,1033.0383
2.7354615,32.0,945.2530460357666,-37206.13,1015.6704
2.6551254,32.0,957.9303293228149,-40088.254,1031.0581
2.5294864,32.0,970.8099143505096,-44982.613,1036.5637
2.6377585,32.0,983.5886783599854,-39276.285,1018.5485
2.8247573,32.0,996.487334728241,-29959.607,988.9891
2.7164764,32.0,1009.4049887657166,-34039.586,1007.9448
2.8161047,32.0,1022.2641086578369,-28762.734,1004.08826
2.8240461,32.0,1034.984929561615,-27628.738,1017.6702
2.8238735,32.0,1047.6826050281525,-26866.162,1014.721
2.7051685,32.0,1060.3215222358704,-31366.72,1029.2944
2.6236467,32.0,1072.30619764328,-34221.26,1031.1423
2.715518,32.0,1084.9678230285645,-29517.25,1019.56323
2.788706,32.0,1097.562174797058,-25629.846,1035.3491
2.7952547,32.0,1110.2765035629272,-24624.12,1008.01013
2.615045,32.0,1122.8200061321259,-31694.59,1014.3274
2.7264106,32.0,1134.7010629177094,-26307.44,1015.0806
2.736044,32.0,1147.0345542430878,-25264.908,1021.7618
2.7036943,32.0,1159.406007051468,-25996.2,1020.6408
2.7423544,32.0,1171.7213480472565,-23717.258,1019.34595
2.61325,32.0,1183.489713191986,-28495.654,1027.1201
2.6841645,32.0,1196.1705400943756,-24952.016,1024.331
2.6206408,32.0,1208.6487901210785,-27000.207,1028.5364
2.7016375,32.0,1221.2171020507812,-23086.662,1022.7107
2.61806,32.0,1232.9813964366913,-25938.61,1013.43787
2.6401832,32.0,1245.491039276123,-24487.154,1004.45526
2.6553152,32.0,1258.038549900055,-23333.312,1003.73627
